"Word","Shoresh","Binyan","Book","Chapter ","Verse","Parasha",
"לְדַבֵּר ","ד-ב-ר","Piel","Gen.",17,22,"Lech Lecha",
"לְדַעְתָּהּ ","י-ד-ע","Paal","Gen.",38,26,"Vayeshev",
"לְהֲשִׁיבוֹ ","שׁ-ו-ב","Hifil","Gen.",37,22,"Vayeshev",
"לְהִמָּלֵט ","מ-ל-ט","Nifal","Gen.",19,19,"Vayera",
"לְהִמֹּל ","מ-ו-ל","Nifal","Gen.",34,15,"Vayishlach",
"לְהִשְׁתַּחֲוֹת ","שׁ-ח-ה","Hitpael","Gen.",37,10,"Vayeshev",
"לְהִתְנַחֵם ","נ-ח-ם","Hitpael","Gen.",37,35,"Vayeshev",
"לְהַבְאִישֵׁנִי ","ב-א-שׁ","Hifil","Gen.",34,30,"Vayishlach",
"לְהַגִּיד ","נ-ג-ד","Hifil","Gen.",32,6,"Vayishlach",
"לְהַחֲיוֹת ","ח-י-ה","Hifil","Gen.",6,19,"Noach",
"לְהַכּוֹת ","נ-כ-ה","Hifil","Gen.",8,21,"Noach",
"לְהַשְׁקֹתוֹ ","שׁ-ק-ה","Hifil","Gen.",24,19,"Chayei Sarah",
"לְהָבִיא ","ב-ו-א","Hifil","Gen.",27,5,"Toledot",
"לְהָמִית ","מ-ו-ת","Hifil","Gen.",18,25,"Vayera",
"לְהָרְגֶךָ ","ה-ר-ג","Paal","Gen.",27,42,"Toledot",
"לְהָרַע ","ר-ע-ע","Hifil","Gen.",31,17,"Vayetze",
"לְהוֹרִיד ","י-ר-ד","Hifil","Gen.",37,25,"Vayeshev",
"לְחַיּוֹת ","ח-י-ה","Piel","Gen.",7,3,"Noach",
"לְיַחְמֵנָּה ","י-ח-ם","Piel","Gen.",30,41,"Vayetze",
"לְכָה ","ה-ל-ך/י-ל-ך","Paal","Gen.",19,32,"Vayera",
"לְכוּ ","ה-ל-ך/י-ל-ך","Paal","Gen.",37,20,"Vayeshev",
"לְנַחֲמוֹ ","נ-ח-ם","Piel","Gen.",37,35,"Vayeshev",
"לְנַשֵּׁק ","נ-שׁ-ק","Piel","Gen.",31,28,"Vayetze",
"לְצַחֶק ","צ-ח-ק","Piel","Gen.",39,14,"Vayeshev",
"לְקַלֵּל ","ק-ל-ל","Piel","Gen.",8,21,"Noach",
"לְקָחַנִי ","ל-ק-ח/י-ק-ח","Paal","Gen.",24,7,"Chayei Sarah",
"לְרִשְׁתָּהּ ","י-ר-שׁ","Paal","Gen.",15,7,"Lech Lecha",
"לְשֶׁבֶת ","י-שׁ-ב","Paal","Gen.",16,3,"Lech Lecha",
"לְשַׁחֲתָּהּ ","שׁ-ח-ת","Piel","Gen.",19,13,"Vayera",
"לְשַׁחֵת ","שׁ-ח-ת","Piel","Gen.",6,17,"Noach",
"לְשַׁלְּחָם ","שׁ-ל-ח","Piel","Gen.",18,16,"Vayera",
"לִבְנֹת ","ב-נ-ה","Paal","Gen.",11,8,"Noach",
"לִבְרֹחַ ","ב-ר-ח","Paal","Gen.",31,27,"Vayetze",
"לִגְזֹז ","ג-ז-ז","Paal","Gen.",31,19,"Vayetze",
"לִדְרֹשׁ ","ד-ר-שׁ","Paal","Gen.",25,22,"Toledot",
"לִדְתָּהּ ","י-ל-ד","Paal","Gen.",38,27,"Vayeshev",
"לִהְיוֹת ","ה-י-ה","Paal","Gen.",10,8,"Noach",
"לִזְכֹּר ","ז-כ-ר","Paal","Gen.",9,16,"Noach",
"לִלְבֹּשׁ ","ל-ב-שׁ","Paal","Gen.",28,20,"Vayetze",
"לִמְנוֹת ","מ-נ-ה","Paal","Gen.",13,16,"Lech Lecha",
"לִמְצֹא ","מ-צ-א","Paal","Gen.",19,11,"Vayera",
"לִנְגֹעַ ","נ-ג-ע","Paal","Gen.",20,6,"Vayera",
"לִסְפֹּד ","ס-פ-ד","Paal","Gen.",23,2,"Chayei Sarah",
"לִסְפֹּר ","ס-פ-ר","Paal","Gen.",15,5,"Lech Lecha",
"לִקְבֹּר ","ק-ב-ר","Paal","Gen.",23,8,"Chayei Sarah",
"לִקְטוּ ","ל-ק-ט","Paal","Gen.",31,46,"Vayetze",
"לִרְחֹץ ","ר-ח-ץ","Paal","Gen.",24,32,"Chayei Sarah",
